Pt_Num,Coords,Column,Row
1,$AW$74,AW,74
2,$CK$74,CK,74
3,$BQ$74,BQ,74
4,$BQ$129,BQ,129
5,$CW$74,CW,74
6,$CW$101,CW,101
7,$CW$129,CW,129
8,$EC$74,EC,74
9,$EC$101,EC,101
10,$EC$129,EC,129
11,$ES$129,ES,129
12,$EZ$112,EZ,112
13,$FM$74,FM,74
14,$FM$74,FM,74
15,$GA$112,GA,112
16,$GH$129,GH,129
17,$GW$129,GW,129
18,$GW$74,GW,74
19,$GW$74,GW,74
20,$IF$129,IF,129
21,$IF$129,IF,129
22,$IF$74,IF,74
23,$JA$74,JA,74
24,$JA$100,JA,100
25,$JA$129,JA,129
26,$KB$129,KB,129
27,$KB$74,KB,74
28,$MM$71,MM,71
29,$MM$109,MM,109
30,$MM$118,MM,118
31,$MM$129,MM,129
32,$LF$114,LF,114
33,$LV$124,LV,124
34,$LV$124,LV,124
35,$MO$110,MO,110
36,$MO$110,MO,110
37,$LF$85,LF,85
38,$LF$85,LF,85
39,$LW$71,LW,71
40,$LW$71,LW,71
41,$MK$81,MK,81
42,$JA$100,JA,100
